consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import,load
2.095,519.22,0.0,5.577,1.574,0.171,5.3e-05,5.22715,7.322150000000001
2.07,518.61,0.0,5.488,1.444,0.171,0.00013000000000000002,5.03362,7.103619999999999
2.054,516.57,0.0,5.33,1.301,0.171,0.000165,4.747319999999999,6.801319999999999
1.986,515.86,0.0,5.461,1.259,0.171,8.999999999999999e-05,4.905189999999999,6.891189999999999
2.084,517.8,0.0,5.744,1.209,0.163,7e-06,5.03215,7.116149999999999
2.161,523.29,0.0,5.968,1.194,0.167,0.0,5.1667700000000005,7.327770000000001
2.17,546.39,0.0,6.115,1.164,0.162,0.0,5.270560000000001,7.4405600000000005
2.149,555.55,0.0,6.106,1.059,0.171,7e-06,5.18738,7.33638
2.101,551.48,0.0,6.031,1.002,0.189,5e-06,5.1203,7.2213
2.082,551.48,1e-05,5.986,0.874,0.193,7e-06,4.97192,7.05392
2.046,539.17,1e-05,5.92,0.727,0.196,6e-06,4.796399999999999,6.8424
2.02,525.94,0.0,5.533,0.665,0.195,8e-06,4.373060000000001,6.39306
1.971,518.61,0.0,4.855,0.55,0.187,5e-06,3.6200300000000003,5.59103
1.911,508.43,0.0,4.162,0.439,0.192,0.0,2.8809,4.7919
1.893,516.43,1e-05,4.005,0.38,0.191,2e-06,2.68293,4.57593
1.879,511.02,0.0,4.048,0.434,0.191,0.0,2.7942600000000004,4.673260000000001
1.88,506.62,1e-05,3.851,0.526,0.186,0.0,2.68241,4.56241
1.894,511.02,0.0,3.814,0.578,0.182,0.0,2.68088,4.57488
1.933,510.61,1e-05,4.048,0.721,0.174,0.0,3.0101999999999998,4.9432
2.005,530.65,0.0,4.721,1.036,0.174,0.0,3.92687,5.93187
2.123,518.68,1e-05,5.284,1.372,0.178,0.0,4.71132,6.83432
2.223,515.62,0.0,5.539,1.639,0.172,0.0,5.126930000000001,7.3499300000000005
2.242,516.95,0.0,5.287,1.698,0.171,0.0,4.91487,7.15687
2.212,515.82,0.0,5.31,1.739,0.191,3e-06,5.0288,7.2408
2.191,513.67,0.0,5.294,1.76,0.234,8.999999999999999e-06,5.09671,7.28771
2.165,513.47,0.0,5.246,1.751,0.256,1.4e-05,5.08721,7.25221
2.124,512.34,0.0,5.18,1.728,0.259,8.999999999999999e-06,5.04281,7.16681
2.108,512.55,0.0,5.226,1.725,0.261,6e-06,5.10501,7.213010000000001
2.121,511.42,0.0,5.232,1.66,0.256,1e-06,5.027,7.148
2.16,510.81,0.0,5.257,1.679,0.226,0.0,5.00208,7.1620800000000004
2.138,509.89,0.0,5.21,1.751,0.16,0.0,4.98363,7.12163
2.123,510.5,0.0,5.126,1.837,0.156,0.0,4.99568,7.11868
2.06,510.4,0.0,5.063,1.948,0.15,1e-06,5.10106,7.161060000000001
2.019,509.99,0.0,5.007,1.966,0.151,4e-06,5.10533,7.1243300000000005
1.984,510.2,1e-05,4.728,1.969,0.15,8e-06,4.8628100000000005,6.8468100000000005
1.936,512.65,0.0,4.368,1.903,0.127,3e-06,4.4624,6.3984
1.889,511.12,2e-05,3.818,1.906,0.115,4e-06,3.94978,5.83878
1.818,491.9,1e-05,3.216,1.853,0.112,8e-06,3.36361,5.18161
1.767,489.63,2e-05,2.89,1.834,0.108,8e-06,3.06394,4.83094
1.757,476.73,1e-05,2.689,1.848,0.103,0.0,2.88319,4.64019
1.748,468.14,4e-05,2.712,1.79,0.103,1e-06,2.8569,4.6049
1.763,448.38,2.9999999999999997e-05,2.797,1.72,0.103,1e-06,2.85735,4.62035
1.81,473.25,1e-05,2.993,1.763,0.106,1e-06,3.05208,4.862080000000001
1.888,488.09,1e-05,3.272,1.763,0.108,0.0,3.25473,5.14273
1.998,511.74,4e-05,4.275,1.749,0.115,2e-06,4.1418800000000005,6.139880000000001
2.114,509.07,0.0,4.855,1.785,0.119,3e-06,4.645560000000001,6.7595600000000005
2.125,511.33,0.0,4.975,1.803,0.118,2e-06,4.77074,6.89574
2.073,511.33,0.0,5.073,1.735,0.118,1.9e-05,4.853680000000001,6.926680000000001
2.04,509.28,0.0,5.082,1.692,0.128,0.000163,4.86217,6.90217
2.02,508.05,1e-05,5.073,1.712,0.127,0.000372,4.892720000000001,6.91272
1.996,508.05,0.0,5.069,1.753,0.135,0.00040300000000000004,4.96027,6.95627
1.973,506.92,0.0,4.998,1.739,0.139,0.000246,4.90225,6.87525
1.986,504.16,0.0,5.101,1.8,0.139,2.8e-05,5.05315,7.039149999999999
2.023,502.22,0.0,5.111,1.835,0.153,5e-06,5.07691,7.0999099999999995
2.038,507.03,0.0,5.15,1.805,0.171,4e-06,5.08858,7.126580000000001
2.022,506.11,0.0,5.215,1.84,0.169,5e-06,5.20193,7.223929999999999
1.971,506.52,0.0,5.092,1.857,0.17,7e-06,5.14777,7.1187700000000005
1.925,507.03,0.0,5.04,1.869,0.162,6e-06,5.14541,7.07041
1.886,500.78,0.0,4.428,1.882,0.161,5e-06,4.58454,6.47054
1.844,494.75,0.0,3.977,1.869,0.153,1e-06,4.15524,5.99924
1.786,486.56,0.0,3.256,1.838,0.143,0.0,3.45091,5.23691
1.749,460.87,0.0,2.774,1.825,0.141,2e-06,2.99057,4.7395700000000005
1.697,483.23,0.0,2.53,1.737,0.144,0.0,2.7134,4.4104
1.681,469.32,1e-05,2.526,1.645,0.136,0.0,2.6260100000000004,4.30701
1.691,456.32,1e-05,2.489,1.634,0.131,0.0,2.5635700000000003,4.25457
1.694,438.83,2e-05,2.167,1.542,0.133,1e-06,2.14778,3.84178
1.668,429.93,1e-05,2.212,1.505,0.134,0.0,2.1835,3.8514999999999997
1.714,429.63,2.9999999999999997e-05,2.506,1.343,0.137,0.0,2.2719699999999996,3.9859699999999996
1.757,450.7,2.9999999999999997e-05,3.115,1.294,0.135,0.0,2.78604,4.5430399999999995
1.79,474.53,2.9999999999999997e-05,3.659,1.245,0.141,0.0,3.25552,5.04552
1.844,491.21,1e-05,4.477,1.167,0.143,2e-06,3.94258,5.78658
1.867,510.54,2e-05,4.801,1.032,0.147,3e-06,4.11237,5.97937
1.885,514.53,1e-05,5.187,1.005,0.151,2.5e-05,4.45864,6.34364
1.895,514.73,1e-05,5.226,0.912,0.151,7.3e-05,4.39322,6.288220000000001
1.881,514.73,0.0,5.004,0.916,0.15,8e-05,4.189010000000001,6.070010000000001
1.883,510.95,0.0,5.08,0.79,0.149,5.5e-05,4.13573,6.01873
1.914,512.38,1e-05,5.056,0.784,0.15,1.9e-05,4.07599,5.98999
1.958,519.85,0.0,5.219,0.786,0.156,7e-06,4.20305,6.16105
2.018,528.85,0.0,5.553,0.721,0.158,8.999999999999999e-06,4.41359,6.43159
2.001,541.74,0.0,5.654,0.615,0.17,8e-06,4.43936,6.44036
1.958,535.29,0.0,5.529,0.523,0.172,8e-06,4.26614,6.22414
1.938,524.04,0.0,5.306,0.484,0.173,1.1e-05,4.0248,5.9628
1.882,511.66,0.0,5.012,0.433,0.167,1e-05,3.72919,5.61119
1.858,503.58,1e-05,4.747,0.384,0.174,0.0,3.44627,5.304270000000001
1.821,493.97,0.0,4.332,0.322,0.179,0.0,3.01224,4.83324
1.786,483.02,1e-05,4.037,0.306,0.181,3e-06,2.7377399999999996,4.52374
1.749,503.21,0.0,3.749,0.323,0.18,0.0,2.5031999999999996,4.2522
1.734,494.59,1e-05,3.547,0.247,0.181,1e-06,2.24116,3.97516
1.724,493.36,1e-05,3.347,0.224,0.18,0.0,2.02635,3.75035
1.728,493.05,0.0,3.322,0.22,0.182,0.0,1.99552,3.7235199999999997
1.746,487.61,1e-05,3.339,0.284,0.183,0.0,2.0601,3.8061
1.769,485.86,1e-05,3.366,0.415,0.185,0.0,2.19773,3.96673
1.815,486.79,1e-05,3.32,0.565,0.186,0.0,2.25711,4.07211
1.863,487.91,1e-05,3.635,0.766,0.186,0.0,2.72489,4.58789
1.895,492.74,0.0,3.814,0.919,0.186,0.0,3.02358,4.91858
1.918,500.75,0.0,4.045,0.973,0.188,4e-06,3.28789,5.20589
1.962,507.83,0.0,4.192,0.958,0.188,1e-05,3.37588,5.33788
1.991,511.73,0.0,4.21,0.954,0.188,1.2e-05,3.3602600000000002,5.35126
1.981,511.94,0.0,4.28,1.023,0.185,8e-06,3.5064699999999998,5.48747
1.956,506.7,0.0,4.268,1.07,0.192,8e-06,3.57357,5.52957
1.987,500.23,0.0,4.394,1.091,0.19,3e-06,3.68747,5.6744699999999995
2.035,505.16,0.0,4.517,1.215,0.187,3e-06,3.88347,5.91847
2.082,515.02,0.0,4.759,1.329,0.19,7e-06,4.19634,6.27834
2.066,516.25,0.0,4.705,1.589,0.191,6e-06,4.419359999999999,6.485359999999999
2.036,508.86,0.0,4.328,1.691,0.184,7e-06,4.1658599999999995,6.20186
2.015,499.21,0.0,4.219,1.734,0.187,6e-06,4.12559,6.1405899999999995
1.986,485.55,0.0,3.93,1.761,0.186,6e-06,3.89081,5.87681
1.977,470.26,0.0,3.484,1.775,0.173,3e-06,3.45374,5.43074
1.938,447.16,1e-05,2.843,1.779,0.183,2e-06,2.86638,4.80438
1.895,402.71,0.0,2.319,1.807,0.169,3e-06,2.3999,4.2949
1.867,284.86,1e-05,1.839,1.791,0.159,0.0,1.92239,3.78939
1.847,212.49,0.0,1.857,1.798,0.156,0.0,1.96367,3.81067
1.865,169.79,1e-05,1.967,1.762,0.156,0.0,2.02013,3.88513
1.879,233.54,1e-05,2.08,1.702,0.158,0.0,2.06081,3.93981
1.895,363.91,0.0,2.122,1.685,0.166,0.0,2.07905,3.97405
1.96,458.45,1e-05,2.747,1.614,0.167,1e-06,2.56792,4.52792
2.095,493.46,1e-05,4.426,1.508,0.169,1e-06,4.00823,6.10323
2.204,525.79,0.0,5.533,1.639,0.167,1e-06,5.13586,7.33986
2.216,530.31,0.0,5.557,1.787,0.178,3e-06,5.30591,7.52191
2.205,520.25,0.0,5.618,1.814,0.187,1.2e-05,5.41371,7.61871
2.203,519.43,0.0,5.594,1.841,0.168,0.00010899999999999999,5.39973,7.602729999999999
2.207,516.04,0.0,5.516,1.905,0.168,0.00022,5.38186,7.5888599999999995
2.182,512.14,0.0,5.386,1.926,0.172,0.000306,5.301819999999999,7.48382
2.149,512.45,0.0,5.038,1.97,0.174,0.000245,5.03378,7.18278
2.164,513.68,0.0,5.048,1.991,0.181,4.6e-05,5.055899999999999,7.219899999999999
2.249,515.12,0.0,5.292,2.019,0.183,5e-06,5.24571,7.4947099999999995
2.249,522.82,0.0,5.479,2.041,0.187,8.999999999999999e-06,5.4578299999999995,7.70683
2.23,526.1,0.0,5.497,2.043,0.191,8e-06,5.50129,7.7312899999999996
2.188,522.82,0.0,4.95,2.038,0.192,6e-06,4.99175,7.17975
2.158,518.61,0.0,4.625,2.033,0.191,6e-06,4.69108,6.849080000000001
