consumption,price,unspecified,hydro,wind_onshore,thermal,solar,export/import
"-1,783","399,63",0.01,4999,454,64,0.010,3733.20
"-1,742","393,78",0.01,4665,454,64,0.010,3441.37
"-1,698","388,79",0.02,4370,451,52,0.011,3175.52
"-1,65","372,32",0.03,3905,412,61,0.007,2727.59
"-1,608","376,79",0.03,3573,412,51,0.008,2428.14
"-1,589","371,06",0.03,3260,414,45,0.007,2129.74
"-1,586","359,06",0.04,3078,408,47,0.009,1948.43
"-1,586","349,76",0.03,3094,402,47,0.008,1957.66
"-1,576","348,24",0.02,3080,428,46,0.008,1977.99
"-1,602","355,92",0.01,3294,482,48,0.010,2221.33
"-1,639","366,73",0.01,3875,506,51,0.009,2793.38
"-1,665","372,9",0.03,4367,532,58,0.023,3291.92
"-1,696","386,41",0.01,4735,468,57,0.157,3565.16
"-1,706","397,44",0.01,5054,383,52,0.567,3784.46
"-1,681","405,01",0.01,5188,311,48,1.533,3867.22
"-1,649","407,6",0.01,5122,279,45,2.623,3800.30
"-1,636","401,98",0.00,4956,264,46,3.271,3634.08
"-1,611","394,74",0.02,4808,244,45,3.576,3488.85
"-1,591","388,46",0.03,4611,239,50,3.628,3312.89
"-1,595","392,14",0.02,4672,228,51,3.059,3360.00
"-1,616","402,3",0.02,4811,214,46,1.436,3456.07
"-1,647","411,71",0.01,5042,258,52,0.265,3704.84
"-1,676","418,74",0.02,5023,406,58,0.011,3811.06
"-1,662","420,9",0.02,5010,564,52,0.009,3964.56
"-1,634","410,84",0.03,4780,756,55,0.011,3956.99
"-1,603","405,44",0.03,4574,853,58,0.010,3882.34
"-1,566","399,92",0.02,4550,866,54,0.009,3904.37
"-1,514","388,14",0.02,4091,800,55,0.009,3431.50
"-1,486","382,48",0.02,3516,713,54,0.011,2797.41
"-1,462","374,79",0.01,3249,637,55,0.010,2479.19
"-1,452","368,19",0.01,3200,636,54,0.010,2437.66
"-1,454","363,33",0.04,3187,625,52,0.008,2410.09
"-1,476","363,65",0.04,3290,616,53,0.010,2482.03
"-1,498","366,25",0.03,3470,647,55,0.010,2674.01
"-1,55","368,09",0.03,3962,718,57,0.011,3186.92
"-1,556","370,9",0.02,4189,714,56,0.029,3403.17
"-1,566","379,01",0.00,4483,610,55,0.430,3583.24
"-1,593","387,89",0.00,4620,513,51,1.698,3592.40
"-1,591","395,46",0.02,4643,355,50,3.018,3460.10
"-1,577","395,14",0.02,4529,245,50,4.338,3251.60
"-1,54","390,37",0.02,4549,200,55,4.735,3268.55
"-1,53","386,16",0.03,4441,181,69,3.993,3165.22
"-1,537","383,34",0.02,4429,192,73,3.469,3160.49
"-1,531","383,77",0.01,4429,233,77,2.307,3210.71
"-1,554","386,7",0.00,4487,357,93,1.092,3383.57
"-1,587","396,43",0.01,4601,561,97,0.198,3672.74
"-1,64","408,01",0.02,4879,931,92,0.017,4262.98
"-1,649","426,51",0.02,4803,1152,100,0.010,4406.25
"-1,63","403,14",0.02,4573,1237,92,0.009,4272.11
"-1,593","390,48",0.03,4531,1237,100,0.010,4274.60
"-1,544","382,58",0.03,4384,1217,100,0.009,4157.27
"-1,499","372,09",0.03,4181,1166,100,0.010,3947.61
"-1,464","361,27",0.04,3702,1189,103,0.008,3528.57
"-1,445","360,08",0.03,3653,1164,103,0.011,3475.63
"-1,44","359,43",0.04,3757,1113,103,0.008,3534.37
"-1,451","360,73",0.03,3800,1130,103,0.009,3581.93
"-1,474","369,93",0.03,3963,1047,105,0.009,3641.07
"-1,534","391,24",0.02,4401,1047,104,0.008,4018.49
"-1,673","409,2",0.00,4901,973,104,0.010,4305.24
"-1,736","406,6",0.01,5006,887,95,0.026,4251.76
